AtomicNumber,Symbol,Name,Category,AtomicMass,ElectronConfiguration
1,H,Hydrogen,Nonmetal,1.008,"(1)"
2,He,Helium,Noble Gas,4.0026,"(2)"
3,Li,Lithium,Alkali Metal,6.94,"(2, 1)"
4,Be,Beryllium,Alkaline Earth,9.0122,"(2, 2)"
5,B,Boron,Metalloid,10.81,"(2, 3)"
6,C,Carbon,Nonmetal,12.011,"(2, 4)"
7,N,Nitrogen,Nonmetal,14.007,"(2, 5)"
8,O,Oxygen,Nonmetal,15.999,"(2, 6)"
9,F,Fluorine,Halogen,18.998,"(2, 7)"
10,Ne,Neon,Noble Gas,20.180,"(2, 8)"
11,Na,Sodium,Alkali Metal,22.990,"(2, 8, 1)"
12,Mg,Magnesium,Alkaline Earth,24.305,"(2, 8, 2)"
13,Al,Aluminium,Post-transition,26.982,"(2, 8, 3)"
14,Si,Silicon,Metalloid,28.085,"(2, 8, 4)"
15,P,Phosphorus,Nonmetal,30.974,"(2, 8, 5)"
16,S,Sulfur,Nonmetal,32.06,"(2, 8, 6)"
17,Cl,Chlorine,Halogen,35.45,"(2, 8, 7)"
18,Ar,Argon,Noble Gas,39.948,"(2, 8, 8)"
19,K,Potassium,Alkali Metal,39.098,"(2, 8, 8, 1)"
20,Ca,Calcium,Alkaline Earth,40.078,"(2, 8, 8, 2)"
21,Sc,Scandium,Transition Metal,44.956,"(2, 8, 9, 2)"
22,Ti,Titanium,Transition Metal,47.867,"(2, 8, 10, 2)"
23,V,Vanadium,Transition Metal,50.942,"(2, 8, 11, 2)"
24,Cr,Chromium,Transition Metal,51.996,"(2, 8, 13, 1)"
25,Mn,Manganese,Transition Metal,54.938,"(2, 8, 13, 2)"
26,Fe,Iron,Transition Metal,55.845,"(2, 8, 14, 2)"
27,Co,Cobalt,Transition Metal,58.933,"(2, 8, 15, 2)"
28,Ni,Nickel,Transition Metal,58.693,"(2, 8, 16, 2)"
29,Cu,Copper,Transition Metal,63.546,"(2, 8, 18, 1)"
30,Zn,Zinc,Transition Metal,65.38,"(2, 8, 18, 2)"
31,Ga,Gallium,Post-transition,69.723,"(2, 8, 18, 3)"
32,Ge,Germanium,Metalloid,72.63,"(2, 8, 18, 4)"
33,As,Arsenic,Metalloid,74.922,"(2, 8, 18, 5)"
34,Se,Selenium,Nonmetal,78.971,"(2, 8, 18, 6)"
35,Br,Bromine,Halogen,79.904,"(2, 8, 18, 7)"
36,Kr,Krypton,Noble Gas,83.798,"(2, 8, 18, 8)"
37,Rb,Rubidium,Alkali Metal,85.468,"(2, 8, 18, 8, 1)"
38,Sr,Strontium,Alkaline Earth,87.62,"(2, 8, 18, 8, 2)"
39,Y,Yttrium,Transition Metal,88.906,"(2, 8, 18, 9, 2)"
40,Zr,Zirconium,Transition Metal,91.224,"(2, 8, 18, 10, 2)"
41,Nb,Niobium,Transition Metal,92.906,"(2, 8, 18, 12, 1)"
42,Mo,Molybdenum,Transition Metal,95.95,"(2, 8, 18, 13, 1)"
43,Tc,Technetium,Transition Metal,98,"(2, 8, 18, 13, 2)"
44,Ru,Ruthenium,Transition Metal,101.07,"(2, 8, 18, 15, 1)"
45,Rh,Rhodium,Transition Metal,102.91,"(2, 8, 18, 16, 1)"
46,Pd,Palladium,Transition Metal,106.42,"(2, 8, 18, 18)"
47,Ag,Silver,Transition Metal,107.87,"(2, 8, 18, 18, 1)"
48,Cd,Cadmium,Transition Metal,112.41,"(2, 8, 18, 18, 2)"
49,In,Indium,Post-transition,114.82,"(2, 8, 18, 18, 3)"
50,Sn,Tin,Post-transition,118.71,"(2, 8, 18, 18, 4)"
51,Sb,Antimony,Metalloid,121.76,"(2, 8, 18, 18, 5)"
52,Te,Tellurium,Metalloid,127.6,"(2, 8, 18, 18, 6)"
53,I,Iodine,Halogen,126.9,"(2, 8, 18, 18, 7)"
54,Xe,Xenon,Noble Gas,131.29,"(2, 8, 18, 18, 8)"
55,Cs,Caesium,Alkali Metal,132.91,"(2, 8, 18, 18, 8, 1)"
56,Ba,Barium,Alkaline Earth,137.33,"(2, 8, 18, 18, 8, 2)"
57,La,Lanthanum,Lanthanide,138.91,"(2, 8, 18, 18, 9, 2)"
58,Ce,Cerium,Lanthanide,140.12,"(2, 8, 18, 19, 9, 2)"
59,Pr,Praseodymium,Lanthanide,140.91,"(2, 8, 18, 21, 8, 2)"
60,Nd,Neodymium,Lanthanide,144.24,"(2, 8, 18, 22, 8, 2)"
61,Pm,Promethium,Lanthanide,145,"(2, 8, 18, 23, 8, 2)"
62,Sm,Samarium,Lanthanide,150.36,"(2, 8, 18, 24, 8, 2)"
63,Eu,Europium,Lanthanide,151.96,"(2, 8, 18, 25, 8, 2)"
64,Gd,Gadolinium,Lanthanide,157.25,"(2, 8, 18, 25, 9, 2)"
65,Tb,Terbium,Lanthanide,158.93,"(2, 8, 18, 27, 8, 2)"
66,Dy,Dysprosium,Lanthanide,162.5,"(2, 8, 18, 28, 8, 2)"
67,Ho,Holmium,Lanthanide,164.93,"(2, 8, 18, 29, 8, 2)"
68,Er,Erbium,Lanthanide,167.26,"(2, 8, 18, 30, 8, 2)"
69,Tm,Thulium,Lanthanide,168.93,"(2, 8, 18, 31, 8, 2)"
70,Yb,Ytterbium,Lanthanide,173.05,"(2, 8, 18, 32, 8, 2)"
71,Lu,Lutetium,Lanthanide,174.97,"(2, 8, 18, 32, 9, 2)"
72,Hf,Hafnium,Transition Metal,178.49,"(2, 8, 18, 32, 10, 2)"
73,Ta,Tantalum,Transition Metal,180.95,"(2, 8, 18, 32, 11, 2)"
74,W,Tungsten,Transition Metal,183.84,"(2, 8, 18, 32, 12, 2)"
75,Re,Rhenium,Transition Metal,186.21,"(2, 8, 18, 32, 13, 2)"
76,Os,Osmium,Transition Metal,190.23,"(2, 8, 18, 32, 14, 2)"
77,Ir,Iridium,Transition Metal,192.22,"(2, 8, 18, 32, 15, 2)"
78,Pt,Platinum,Transition Metal,195.08,"(2, 8, 18, 32, 17, 1)"
79,Au,Gold,Transition Metal,196.97,"(2, 8, 18, 32, 18, 1)"
80,Hg,Mercury,Transition Metal,200.59,"(2, 8, 18, 32, 18, 2)"
81,Tl,Thallium,Post-transition,204.38,"(2, 8, 18, 32, 18, 3)"
82,Pb,Lead,Post-transition,207.2,"(2, 8, 18, 32, 18, 4)"
83,Bi,Bismuth,Post-transition,208.98,"(2, 8, 18, 32, 18, 5)"
84,Po,Polonium,Post-transition,209,"(2, 8, 18, 32, 18, 6)"
85,At,Astatine,Halogen,210,"(2, 8, 18, 32, 18, 7)"
86,Rn,Radon,Noble Gas,222,"(2, 8, 18, 32, 18, 8)"
87,Fr,Francium,Alkali Metal,223,"(2, 8, 18, 32, 18, 8, 1)"
88,Ra,Radium,Alkaline Earth,226,"(2, 8, 18, 32, 18, 8, 2)"
89,Ac,Actinium,Actinide,227,"(2, 8, 18, 32, 18, 9, 2)"
90,Th,Thorium,Actinide,232.04,"(2, 8, 18, 32, 18, 10, 2)"
91,Pa,Protactinium,Actinide,231.04,"(2, 8, 18, 32, 20, 9, 2)"
92,U,Uranium,Actinide,238.03,"(2, 8, 18, 32, 21, 9, 2)"
93,Np,Neptunium,Actinide,237,"(2, 8, 18, 32, 22, 9, 2)"
94,Pu,Plutonium,Actinide,244,"(2, 8, 18, 32, 24, 8, 2)"
95,Am,Americium,Actinide,243,"(2, 8, 18, 32, 25, 8, 2)"
96,Cm,Curium,Actinide,247,"(2, 8, 18, 32, 25, 9, 2)"
97,Bk,Berkelium,Actinide,247,"(2, 8, 18, 32, 27, 8, 2)"
98,Cf,Californium,Actinide,251,"(2, 8, 18, 32, 28, 8, 2)"
99,Es,Einsteinium,Actinide,252,"(2, 8, 18, 32, 29, 8, 2)"
100,Fm,Fermium,Actinide,257,"(2, 8, 18, 32, 30, 8, 2)"
101,Md,Mendelevium,Actinide,258,"(2, 8, 18, 32, 31, 8, 2)"
102,No,Nobelium,Actinide,259,"(2, 8, 18, 32, 32, 8, 2)"
103,Lr,Lawrencium,Actinide,262,"(2, 8, 18, 32, 32, 8, 3)"
104,Rf,Rutherfordium,Transition Metal,267,"(2, 8, 18, 32, 32, 10, 2)"
105,Db,Dubnium,Transition Metal,268,"(2, 8, 18, 32, 32, 11, 2)"
106,Sg,Seaborgium,Transition Metal,271,"(2, 8, 18, 32, 32, 12, 2)"
107,Bh,Bohrium,Transition Metal,270,"(2, 8, 18, 32, 32, 13, 2)"
108,Hs,Hassium,Transition Metal,277,"(2, 8, 18, 32, 32, 14, 2)"
109,Mt,Meitnerium,Unknown,278,"(2, 8, 18, 32, 32, 15, 2)"
110,Ds,Darmstadtium,Unknown,281,"(2, 8, 18, 32, 32, 17, 1)"
111,Rg,Roentgenium,Unknown,280,"(2, 8, 18, 32, 32, 18, 1)"
112,Cn,Copernicium,Transition Metal,285,"(2, 8, 18, 32, 32, 18, 2)"
113,Nh,Nihonium,Unknown,284,"(2, 8, 18, 32, 32, 18, 3)"
114,Fl,Flerovium,Post-transition,289,"(2, 8, 18, 32, 32, 18, 4)"
115,Mc,Moscovium,Unknown,288,"(2, 8, 18, 32, 32, 18, 5)"
116,Lv,Livermorium,Post-transition,293,"(2, 8, 18, 32, 32, 18, 6)"
117,Ts,Tennessine,Unknown,294,"(2, 8, 18, 32, 32, 18, 7)"
118,Og,Oganesson,Noble Gas,294,"(2, 8, 18, 32, 32, 18, 8)"

